,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 8. U.S. Imports of Goods by End-Use Category and Commodity,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. The commodities in this exhibit are ranked ,,,,,,,,,,,,,,,,,,,,,,,,,
on the monthly change within each major commodity grouping. (-) Represents zero or less than one-half of measurement shown. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),February,January,Monthly ,Year-to-Date,Year-to-Date,Year-to-Date,,,,,,,,,,,,,,,,,,,
"Nursery stock, etc.",175,167,8,342,316,26,,,,,,,,,,,,,,,,,,,
Musical instruments,168,162,6,330,264,66,,,,,,,,,,,,,,,,,,,
Numismatic coins,84,85,(-),169,258,-89,,,,,,,,,,,,,,,,,,,
"Apparel, household goods - wool",260,262,-2,522,488,34,,,,,,,,,,,,,,,,,,,
Recorded media,60,62,-2,122,134,-11,,,,,,,,,,,,,,,,,,,
"Books, printed matter",337,346,-9,683,645,38,,,,,,,,,,,,,,,,,,,
Camping apparel and gear,"1,069","1,084",-14,"2,153","2,049",104,,,,,,,,,,,,,,,,,,,
"Gem stones, other",305,319,-14,624,638,-14,,,,,,,,,,,,,,,,,,,
Motorcycles and parts,260,283,-23,543,409,133,,,,,,,,,,,,,,,,,,,
Pleasure boats and motors,257,326,-70,583,545,38,,,,,,,,,,,,,,,,,,,
Photo equipment,296,373,-77,670,658,11,,,,,,,,,,,,,,,,,,,
Footwear,"1,657","1,777",-120,"3,433","3,226",207,,,,,,,,,,,,,,,,,,,
Household appliances,"2,540","2,732",-192,"5,272","4,670",601,,,,,,,,,,,,,,,,,,,
Gem diamonds,"1,763","1,971",-207,"3,734","3,839",-105,,,,,,,,,,,,,,,,,,,
"Cell phones and other household goods, n.e.c.","9,118","10,125","-1,007","19,244","17,072","2,171",,,,,,,,,,,,,,,,,,,
Other goods,"7,822","8,350",-528,"16,172","15,338",834,,,,,,,,,,,,,,,,,,,
(1) Detailed data are presented on a Census basis. The information needed to convert to a BOP basis is not available.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: For information on data sources, nonsampling errors, definitions, and details concerning what is included in Net Adjustments, see the",,,,,,,,,,,,,,,,,,,,,,,,,
explanatory notes in this release or at www.census.gov/ft900 or www.bea.gov/newsreleases/international/trade/tradnewsrelease.htm.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
